Frame,Left Elbow Angle,Right Elbow Angle,Left Knee Angle,Right Knee Angle,Torso Angle,Left Ankle Angle,Right Ankle Angle
0,5.103235750934298,0.8906109306636558,122.94435247050767,105.34559928745033,11.942718214739898,69.26480091988698,79.23787859010356
1,4.2599592041441,0.011585739511421382,123.87333855499183,116.20445840434729,4.0745354899139485,66.97443658932174,58.98378931343139
2,4.153519471418295,0.5488249814147494,124.46643973675906,111.19976801049944,9.098546519289886,74.75923636263464,61.32411946263906
3,4.643592952098493,0.5530981417725647,124.22523367964104,114.50237776912338,18.66570516664002,67.86650552126201,57.91216093386569
4,4.957119695746736,0.5696106167973003,123.64856368489383,116.2369759493499,24.964053761732394,65.58479448068739,58.868013267934614
5,4.849432374587675,0.9281432988250237,122.86208489990382,115.32720536086275,21.875312305239667,66.0316611774011,56.17206983868445
6,4.985668742611353,0.7881212148897203,121.71884490514067,114.42520616566372,21.53471389591231,61.9342528086811,54.778617658382814
7,5.366331155325765,0.11133814397743681,120.962917456085,111.41116287409524,23.69125181195232,60.62236820781451,51.679091212346655
8,5.29620212000763,0.5437179117828604,120.20861567976371,112.55253444148947,26.011019575073433,60.16314255440552,56.74567556025571
9,5.170985361599721,0.7502782347544089,118.34945151713072,110.82276783258587,27.487361022719394,61.93741584419509,61.96354671570544
10,5.0231510572821785,0.7387694629899116,116.49621191191008,102.06777850291695,28.668605905029974,75.08859385326151,61.30358957218842
11,5.005344099874433,0.777236401437473,115.04459710480788,104.93299534127527,30.812913158248747,68.99900751011664,53.526587189867534
12,4.8557661620475026,0.9464126426113486,112.34437424158213,103.84644890846752,30.183367563283827,62.52579518836789,59.25814570553859
13,5.381080177756916,0.8131106985638182,110.23605333033701,100.59960399166157,30.64640708361077,60.55807040807868,65.36895659533953
14,5.675351311719713,0.6940346617173229,108.03579571894042,98.12971301573198,29.345085092309958,69.027292875145,64.03747550084935
15,5.502877393116185,0.567581713619389,105.35383579757404,92.10870173623425,28.23157302672054,66.88049055060259,52.54512115218192
16,5.431378172716852,0.33186315798154187,103.51623844349322,88.67297539169657,26.320906628923144,64.44540713096518,52.90611959765224
17,4.986939372777005,0.07902997930650668,102.10180117995084,83.6492347809666,23.391898537924316,61.436905673293396,56.54939154897793
18,4.846499575138875,0.17700493175356452,100.81707091630936,83.8869674675475,14.399566812611365,63.15176769507352,47.95326736840546
19,4.232276092846045,0.28311611740178116,97.35922870537544,81.33252563069865,5.05082868064792,69.6591593562212,41.611317019252894
20,4.012206520719131,0.41318266281536253,93.60394173065764,80.46499077165987,10.562046948608227,65.52601301433721,41.386446593841185
21,3.4835370443513254,0.7957118965372717,91.62056626257987,77.10877335180753,14.624050074244114,62.36857108955808,43.768879107289585
22,3.0447908671477273,1.0403026148929593,89.6961783434813,72.35415889912893,21.403746350944964,71.68274855862468,40.016800318020856
23,3.1706937965549997,1.3318713110368732,88.25094749012065,68.22195164690115,29.65568793571373,70.69539219526874,50.60757775840586
24,3.35031779012406,0.2667987799582884,85.6629961092941,63.41815263801813,44.537912653009904,68.17779476437362,51.043944601878735
25,3.44238695111739,0.4751359534811804,82.9683493827762,65.39882236614534,53.01230176214616,71.04169065472112,61.91378979547188
26,3.831841907496772,1.5319955451447007,79.64088169664707,63.55268531983716,36.37792920264388,70.65513689482238,60.33187180495735
27,4.117911122693428,2.193152992462899,78.93833736749173,60.1432754147322,39.21756263308348,69.18156472447741,55.616330108143764
28,4.100407974380319,3.7404375643964336,77.12653659002862,55.70215543196135,47.87113034277205,69.40911284334652,55.32277627422536
29,3.8571480878068165,3.887695883226639,74.49045440772106,56.287661055314274,31.489145625482912,66.12214377711979,60.248337350871005
30,3.56015035803277,3.2330678037243588,70.20552769074392,56.70227873813833,38.57689404891783,65.59080308681098,62.410762528583405
31,3.3443091518804016,2.994366800312451,68.3175261958507,55.38737330121611,53.36620853426245,66.0966731011697,64.53151401207818
32,3.731019429692716,3.898626499943437,67.73383514281292,54.329994978663805,69.76496077642106,64.72836441592112,61.15246155216316
33,4.097308239909501,4.662147185554832,65.52376746414319,52.553261141630706,28.517571859228614,64.52446438320145,59.834383622801994
34,4.504947363643628,4.728634869993383,63.07131935354628,53.881208719752784,35.83728956555035,62.57854596337598,60.79729232824477
35,4.690261818940407,4.734403994897448,61.875259356237265,51.9560957574366,63.458686309787836,61.34364261065968,60.08116294303751
36,4.8198247653339985,4.424823974492637,60.75517790882343,49.567320856480414,88.76598992230666,60.510918244338654,57.89137780018794
37,4.775809252364426,3.914050832135133,57.833695800451,50.10754209954282,89.93497533572076,58.26196653001579,56.65271714026127
38,4.533061097745691,3.4664808079250884,57.438637804336906,47.174281080299146,93.97533074257352,58.713593283397024,53.55399269023316
39,4.438694188638802,3.1948768568903216,54.550338544676464,48.204902708685275,93.25800909191823,56.26936373358537,54.08870374564545
40,4.515713635659177,2.801243212472832,54.145737674270514,48.71817492235435,98.46244297464625,56.46812291147592,54.97637311309991
41,4.642877927163018,2.444241318236186,53.157921012405495,47.87067611286884,103.6045036520546,54.515512050575616,54.119074682441045
42,4.829287397300994,2.280955167808227,52.60631592557716,47.83177522000901,107.48302897042636,53.90726151177046,54.73428140523197
43,5.1832476558512495,2.0465488870408057,52.65918237991906,47.6716674815162,113.91542026085399,54.0907218909133,53.41584741483196
44,5.2672585819845565,1.5730582841831777,52.87132645469619,47.273677270208935,114.5342688080711,54.091223792791126,57.26406981881527
45,5.586640473334787,1.5429254591620487,52.87271118514557,45.88627468488343,114.79689154411152,54.322626845641764,57.61893161696986
46,5.846889586784969,1.5048065015084533,52.956585906127565,44.46265435295055,114.84851035922901,54.318641157615374,55.431117617120286
47,6.2815448303179755,1.7397417841066625,53.00943830642062,44.11527326899582,113.7393675083835,54.284606893278756,54.89236402877424
48,6.568783766145393,1.9856670035360668,53.10659614488453,43.8338243849715,111.65486308492717,54.34461078188089,54.895619434825804
49,6.776004966443415,2.1927153178427425,53.31146166895477,43.786284512053506,110.0760765029344,54.45846126146884,54.45984634937607
50,6.995525560246739,2.4901719427887468,53.47153777459929,43.57660337421216,109.73874660240254,54.55117393932454,54.40494082577164
51,7.107365313205437,2.587027816419492,53.940783027657424,43.6479302748195,110.24476618888019,55.0757586984676,54.65321067110406
52,7.347117895024269,2.805513299090517,53.987119774929845,43.59746984256454,111.53041457374971,55.1153680445575,54.750338672947514
53,7.445304036105031,2.792236286377153,53.62792474610104,43.25713231927451,110.83406213997922,54.998968315559985,55.56557939874192
54,7.45008047407164,2.7827854598287307,53.41385096364331,43.63478807465778,107.824928103399,54.579581818888826,56.20073073755123
55,7.523072954774867,2.7720234717416496,53.225666974690874,43.73955961229644,106.9591329063428,54.30347410936919,56.099236761963084
56,7.656294120164975,2.785268679574691,53.60434572493905,44.21464596769092,108.36651890713517,54.867800790897036,55.88376386642079
57,7.796607219068069,2.7321071288818817,53.912632064272366,41.40424032164267,110.99858407902082,55.00807853417889,52.97894351681071
58,7.9444465767139185,2.7448360715702664,54.253291318066026,39.26634561938606,113.6237846557809,55.332785868942885,51.09654449488882
59,7.9391420296486235,2.6953451341848305,54.15434513015153,44.29208729799422,113.67166285954794,54.91344968981421,54.60520005966699
60,7.9779056912128,2.6954645176774794,54.725494587271506,46.3510184491026,114.90179592756397,54.916628356735444,56.26348175110123
61,7.955162418764755,2.529233015901325,55.0846719217236,48.44421618115653,116.80933633970854,54.92841758897387,56.95441614898677
62,7.686574096866235,2.418538339410709,55.701743274160485,50.66592614262485,115.49149492050731,55.13436894210086,57.81595589898036
63,7.52916635006336,2.368246328301796,58.27076753853226,52.18244481129178,115.03485244569369,57.40988805880906,54.05127758118405
64,7.296586092281511,2.2800077784164783,59.22679263737307,55.22172129031158,113.6526500308331,58.70077282752356,53.92527887725457
65,7.119166795129189,2.3959685651709615,60.64334813971883,58.91610211065387,112.04796217440679,59.9236402552601,56.13603228364656
